ampl: display Y;
Y [M1,*,Buraki,*] (tr)
:   S1 S10    S2   S3  S4  S5    S6    S7  S8  S9    :=
27   0       0.68   0   3.12   0    6.02   0   0   0   2.84
28   0       0      0   3.1    0    6.85   0   0   0   5.07
29   0      11.69   0   2.38   0    4.19   0   0   0   0
30   0       2.87   0   2.67   0    4.79   0   0   0   2.56
31   0       0      0   2.92   0    3.95   0   0   0   3.06
32   0       0      0   2.64   0    4.74   0   0   0   2.79
33   0       3.75   0   2.22   0    3.54   0   0   0   7.94
34   0       0      0   3.48   0    1.25   0   0   0   0
35   0       0      0   4.11   0    0      0   0   0   0
36   0       0      0   0      0    0      0   0   0   2.02
37   0       0      0   0      0   12.04   0   0   0   4.78
38   0       0      0   1.75   0    2.97   0   0   0   0
39   0.08    9.13   0   2.28   0    1.02   0   0   0   0
40   0.14    3.13   0   0      0    0      0   0   0   1.19
41   0       0      0   0.82   0    2.4    0   0   0   3.53
42   0.1     0      0   0.79   0    0      0   0   0   1.97
43   0       0      0   1.94   0    0      0   0   0   0
44   0.18    0      0   1.44   0    0      0   0   0   0
45   0       0      0   0      0    0      0   0   0   0
46   0       0      0   0      0    0      0   0   0   0
47   0       0      0   0      0    0      0   0   0   0
48   0       0      0   0      0    0      0   0   0   0
49   0       0      0   0      0    0      0   0   0   0
50   0       0      0   0      0    0      0   0   0   0
51   0       0      0   0      0    0      0   0   0   0
52   0.02    0.4    0   0.27   0    0.49   0   0   0   0.29

 [M2,*,Ziemniaki,*] (tr)
:     S1   S10    S2   S3  S4  S5  S6  S7  S8    S9     :=
1     1.37   0   0      0   0   0   0   0   0   5.15
2     0.37   0   0      0   0   0   0   0   0   0
3     0.37   0   0      0   0   0   0   0   0   0
4     0.37   0   0      0   0   0   0   0   0   0
5     0.37   0   0      0   0   0   0   0   0   0
6     0.51   0   0      0   0   0   0   0   0   0
7     0.64   0   0      0   0   0   0   0   0   0
8     0.85   0   0      0   0   0   0   0   0   0
9     1.02   0   0      0   0   0   0   0   0   0
10   10.95   0   0      0   0   0   0   0   0   0
11    0      0   0      0   0   0   0   0   0   0.89
12    0      0   0      0   0   0   0   0   0   1.27
13    0      0   0      0   0   0   0   0   0   2.88
14    0      0   0      0   0   0   0   0   0   0
15    0      0   0      0   0   0   0   0   0   1.6
16    2.34   0   0      0   0   0   0   0   0   3.17
17    6.01   0   3.42   0   0   0   0   0   0   0
18    5.15   0   3.5    0   0   0   0   0   0   2.13
19    0      0   3.43   0   0   0   0   0   0   1.83
20    0      0   0      0   0   0   0   0   0   2.16
21    3.58   0   0      0   0   0   0   0   0   2.12
22    3.16   0   0      0   0   0   0   0   0   2.6
23    3.24   0   0      0   0   0   0   0   0   2.78
24    3.83   0   0      0   0   0   0   0   0   3.04
25    3.16   0   0      0   0   0   0   0   0   2.7
26    3.47   0   0      0   0   0   0   0   0   7.73
27    4.01   0   0      0   0   0   0   0   0   2.29
28    3.81   0   0      0   0   0   0   0   0   1.66
29    4.01   0   0      0   0   0   0   0   0   0
30    3.53   0   0      0   0   0   0   0   0   4.99
31    3.45   0   0      0   0   0   0   0   0   3.56
32    3.22   0   0      0   0   0   0   0   0   0
33    2.92   0   0      0   0   0   0   0   0   0
34    2.71   0   0      0   0   0   0   0   0   4
35    2.43   0   0      0   0   0   0   0   0   5.58
36    2.58   0   0      0   0   0   0   0   0   0.48
37    7.3    0   0      0   0   0   0   0   0   0
38    7.12   0   0      0   0   0   0   0   0   4.17
39    0.02   0   0      0   0   0   0   0   0   1.97
40    0.39   0   0      0   0   0   0   0   0   0
41    0      0   0      0   0   0   0   0   0   0
42    0      0   0      0   0   0   0   0   0   0
43    0      0   0      0   0   0   0   0   0   0
44    0      0   0      0   0   0   0   0   0   0
45    0      0   0      0   0   0   0   0   0   0
46    0      0   0      0   0   0   0   0   0   0
47    0      0   0      0   0   0   0   0   0   0
48    0      0   0      0   0   0   0   0   0   0
49    0      0   0      0   0   0   0   0   0   0
50    0      0   0      0   0   0   0   0   0   0
51    0      0   0      0   0   0   0   0   0   0
52    0.37   0   0      0   0   0   0   0   0   0.27

 [M3,*,Buraki,*] (tr)
:   S1 S10  S2  S3    S4   S5  S6    S7     S8   S9    :=
1    0   0   0   0   3.72   0   0   0.57   1.97   0
2    0   0   0   0   0      0   0   0.27   0      0
3    0   0   0   0   0      0   0   0.27   0      0
4    0   0   0   0   0      0   0   0.27   0      0
5    0   0   0   0   0      0   0   0.27   0      0
6    0   0   0   0   0      0   0   0.39   0      0
7    0   0   0   0   0      0   0   0.44   0.5    0
8    0   0   0   0   0      0   0   0.58   0.64   0
9    0   0   0   0   1.22   0   0   0.71   0.79   0
10   0   0   0   0   1.36   0   0   0.78   0.66   0
11   0   0   0   0   1.32   0   0   1.14   0.9    0
12   0   0   0   0   1.82   0   0   1.3    1.08   0
13   0   0   0   0   2.14   0   0   1.5    1.01   0
14   0   0   0   0   2.02   0   0   1.28   6.07   0
15   0   0   0   0   2.17   0   0   1.68   1.62   0
16   0   0   0   0   2.61   0   0   2.21   1.84   0
17   0   0   0   0   0      0   0   1.66   0      0
18   0   0   0   0   0      0   0   5.73   3.3    0
19   0   0   0   0   0      0   0   1.78   2.94   0
20   0   0   0   0   0      0   0   0      0      0
21   0   0   0   0   0      0   0   2.2    6.19   0
22   0   0   0   0   0      0   0   7.36   3.07   0
23   0   0   0   0   0      0   0   1.05   1.18   0
24   0   0   0   0   0      0   0   0      0      0
25   0   0   0   0   0      0   0   2.43   7.65   0
26   0   0   0   0   0      0   0   2.24   2.4    0
27   0   0   0   0   0      0   0   2.6    2.06   0
28   0   0   0   0   0      0   0   2.62   2.07   0
29   0   0   0   0   0      0   0   2.51   2.3    0
30   0   0   0   0   3.27   0   0   2.24   1.91   0
31   0   0   0   0   5.13   0   0   6.41   1.99   0
32   0   0   0   0   5.41   0   0   3.7    0      0
33   0   0   0   0   1.66   0   0   0.86   0      0
34   0   0   0   0   0      0   0   0      0      0
35   0   0   0   0   0      0   0   0      0      0
36   0   0   0   0   0      0   0   1.55   1.54   0
37   0   0   0   0   0      0   0   4.83   4.61   0
38   0   0   0   0   0      0   0   0      0      0
39   0   0   0   0   0      0   0   0      0      0
40   0   0   0   0   0      0   0   1.09   1.19   0
41   0   0   0   0   0      0   0   2.54   1.99   0
42   0   0   0   0   0      0   0   0      0      0
43   0   0   0   0   0      0   0   0      0      0
44   0   0   0   0   0      0   0   0.56   2.52   0
45   0   0   0   0   0      0   0   2.19   0      0
46   0   0   0   0   0      0   0   0      0      0
47   0   0   0   0   0      0   0   0      0      0
48   0   0   0   0   0      0   0   0      0      0
49   0   0   0   0   0      0   0   0      0      0
50   0   0   0   0   0      0   0   0      0      0
51   0   0   0   0   0      0   0   0      0      0
52   0   0   0   0   0      0   0   0.27   0.25   0

 [M3,*,Kapusta,*] (tr)
:   S1    S10     S2     S3     S4     S5   S6    S7      S8   S9    :=
1    0    3.68   0      0.45   0.44   0.49   0    0.73   0.53   0
2    0    0      0      0.05   2.32   1.07   0    0.35   0.09   0
3    0    0      0      0.05   0      0      0    0.35   0.09   0
4    0    0      0      0.05   0      0      0    0.35   0.09   0
5    0    0      0      0.05   0      0      0    0.35   0.09   0
6    0    0      0      0.06   0      0      0    0.46   0.09   0
7    0    0      0      0.07   0      0      0    0.68   0.12   0
8    0    0      0      0.08   0      0      0    0.63   0.21   0
9    0    0.71   0      0.15   0      0      0    0.87   0.21   0
10   0    1.14   0      0.13   0      0      0    0.96   0.34   0
11   0    1.01   0      0.14   0      0      0    1.46   0.27   0
12   0    1.34   0      0.22   0      0      0    1.34   0.42   0
13   0    1.75   0      0.22   0      0      0    1.74   0.36   0
14   0    1.6    0      0.23   0      0      0    1.56   0.41   0
15   0    1.91   0      0.32   0      0      0    2.24   0.46   0
16   0    1.96   0      0.26   0      0      0    2.15   0.62   0
17   0    2.35   0      0.36   0      0      0    2.35   0.57   0
18   0    2.56   0      0.4    0      0      0    2.89   1.85   0
19   0   10.85   0      3.8    0      0      0    2.52   0      0
20   0    2.94   0      0      0      0      0    3.07   0.37   0
21   0    2.84   0      0      0      0      0    6.32   0.79   0
22   0    0      0      0      0      0.37   0    0      0.67   0
23   0    0      0      0      0      1.81   0    3.41   0.8    0
24   0    0      0      0      0.36   0.01   0    3.05   0.8    0
25   0    3.72   0      0      1.16   0      0    7.67   0.95   0
26   0    2.72   0      0      0      0      0    0      1      0
27   0    3.2    0      0      0      0      0   10.73   0.91   0
28   0    5.89   0      0.46   0      0      0    2.21   0.76   0
29   0    0      0      3.06   0      0      0    0      0.83   0
30   0    4.38   0      0      0      0      0    0.17   0.96   0
31   0    2.28   0      0      1.97   0      0    2.85   0.67   0
32   0    6.81   1.81   0      0      0      0    3.45   1.67   0
33   0    2.84   4.24   0      0      0      0    3.4    0      0
34   0    0      0      0      0      0      0    3.12   3.31   0
35   0    6.26   0      0      0      0      0    5.51   0      0
36   0    3.63   0      0      0      0      0    5.49   0      0
37   0    0      0      0      0      0      0    0      0      0
38   0    0      0      0.29   0      0      0    0      0      0
39   0    0      0      0.27   0      0      0    0      0      0
40   0    0      0      1.05   0      0      0    1.58   1.28   0
41   0    1.05   0      0      0      0      0    1.05   0      0
